k,w,double_decycling_dna_mean,double_decycling_dna_std,double_decycling_dna_min,double_decycling_dna_max,one_zero_dna_mean,one_zero_dna_std,one_zero_dna_min,one_zero_dna_max,abb_plus_dna_mean,abb_plus_dna_std,abb_plus_dna_min,abb_plus_dna_max,miniception_dna_mean,miniception_dna_std,miniception_dna_min,miniception_dna_max,open_closed_dna_mean,open_closed_dna_std,open_closed_dna_min,open_closed_dna_max
29,28,1.5731757755391427,0.0016073075664727174,1.571647496935043,1.5753304453737647,1.6866656866803864,0.0013241974840200353,1.6851954072642983,1.6881678656498809,1.733540630431174,0.0020565292675810264,1.7305942716801965,1.7351617077360917,1.7828602399566407,0.0012007110214047067,1.7816770565212088,1.7847510134858113,1.5747939528846595,0.0015631225034097981,1.57311197643233,1.5768239244650575
8,93,1.9443089896319823,0.0034162271452919434,1.940915747417745,1.9499863256358578,1.8658226392472752,0.005870344994725962,1.8607374757073798,1.8751658047900774,1.8647040912597568,0.0008976459557138864,1.8633693533250704,1.8657662418697532,1.9898310728551123,0.005107151116356108,1.9850936931432688,1.997830100900308,1.9659185847858072,0.006898440343189122,1.9561430393486703,1.973673224195075
9,80,1.9236082556697731,0.00369408721482553,1.9199472021119155,1.928816347346106,1.8347629094836204,0.0026382448923430732,1.8322277108915643,1.8391124355025799,1.8332806687732492,0.003043177736466182,1.8302027918883246,1.837897484100636,1.9856274749010037,0.004174909625666403,1.9789128434862604,1.989604415823367,1.9497864085436583,0.005708504897134476,1.941208851645934,1.9548568057277709
27,34,1.570041809289242,0.001237811740737866,1.5680608429656695,1.5713332873341153,1.705975998408027,0.0017008054403820153,1.7033335433297634,1.7078484665760683,1.7450388343398164,0.0012990744768101785,1.7434953605788701,1.7470128007823869,1.873336153285394,0.0035707241378893466,1.8709281942206983,1.8794330496381562,1.602293761006063,0.0014269717120428361,1.6012402789152584,1.6047402194162699
26,55,1.6861136318751235,0.001204455150568688,1.6848256672941493,1.6878775833664574,1.7649314643847294,0.0019205512564803508,1.7625515298329297,1.7675073935466774,1.7891619980450535,0.004304356882757178,1.7846709215496575,1.7951146343475555,1.9145089510038473,0.004253229577441134,1.910359465114709,1.9204951863823747,1.7176855636469999,0.001990566067121062,1.7153728272472506,1.7199367017407021
10,50,1.8694245643858902,0.0022898796680782627,1.866094347641309,1.8718317042073949,1.7671160220994473,0.003406842708268804,1.762209944751381,1.7704972375690609,1.773246068848279,0.0037022141479057837,1.7705227369315768,1.7796260093497664,1.9744768380790478,0.0032560199799861115,1.9708202294942625,1.9780620484487887,1.904103697407565,0.0033986259774876474,1.898937526561836,1.9068678283042924
25,37,1.5952028887465581,0.0006199827238407535,1.5944315030171943,1.5959704745462209,1.7167398403129543,0.002646024233480656,1.7139202924745893,1.7204751712093327,1.7511596035473347,0.0014156331977854752,1.7498676274488922,1.7534015620711019,1.8972935000702489,0.004213846200732897,1.8922129940596097,1.9029667951142906,1.6367551200302795,0.0012895009792002106,1.6350337518755904,1.6386626847403325
9,35,1.8360794686092994,0.0019396028270701408,1.8327819263162894,1.8376238415827724,1.727242573254968,0.0011303028285162167,1.7256658008484853,1.7286537485594002,1.7377903886681985,0.001232590777482112,1.7363756134267652,1.7392195636576362,1.9694139352561333,0.002750991442970198,1.9647556167767064,1.971523498338779,1.8889373435964871,0.002199588020961498,1.8855030036974352,1.8912989022692102
11,76,1.9002877890640157,0.004468069953440814,1.8942435187462876,1.9042146398436859,1.814651643237557,0.003236694528268119,1.8115486611508764,1.8193638641731615,1.8181088118651487,0.004592522096718152,1.8114716640767652,1.8242531783792217,1.9791712914909234,0.003175370912023882,1.9756679246188646,1.9835216261782052,1.9240721852569602,0.0023601204649641066,1.9200375385735342,1.9260048118171509
19,55,1.7636490996497596,0.0030595741432843733,1.7601715952811299,1.7680113796870587,1.765564246983208,0.0018357760874872049,1.7634755044236283,1.7679553812270161,1.7887028106727065,0.004195635804249288,1.784278932329361,1.7944426528270474,1.9326524520575685,0.004595943758966059,1.9278309846479222,1.9396466597168578,1.7976009659734355,0.0020778371782532046,1.794722645127259,1.7998185049911128
23,86,1.8099484722156949,0.0027516478074698847,1.805302871976505,1.8121320783206323,1.8167602793079898,0.004720459028921117,1.8103051568782542,1.822789120067837,1.8328545872527482,0.0044139993562990875,1.8256599966201452,1.8365780271448329,1.945436446232812,0.003909705192644635,1.9398860848983495,1.9508476135526172,1.835168687746427,0.0031751548998459928,1.831923727279727,1.8399708812521063
18,65,1.8085656216172974,0.002837658346537979,1.8040513683305293,1.811377130243267,1.7851231834965362,0.0023348461076330112,1.782701062215478,1.7882118831137988,1.8042493618957383,0.0037711292198709476,1.7987715399249526,1.8081432353448512,1.9492070507708497,0.002473863374064118,1.9470357213390566,1.9525135433098424,1.8355719439118228,0.0027674278634152194,1.832100456735156,1.8391952261551499
19,32,1.6310781027503558,0.0019163646066325524,1.6284084454648726,1.6330613710180637,1.6998193028911537,0.0011376445332994833,1.6978063350986383,1.700561791011344,1.7382603878337946,0.0012540559196453603,1.7360527231564293,1.7391711732612278,1.8989480168317308,0.001821581316625383,1.8959516647733636,1.900258095870466,1.6841544535287434,0.0010100345436201087,1.6829235732228285,1.685250035999424
12,95,1.9109140315834998,0.0032325671647821103,1.9061814563808221,1.9153010232013978,1.8360375882145596,0.004194599822018083,1.8322169696939394,1.8421524977563566,1.84031898484822,0.003974025722202343,1.835432816941195,1.8437844202400386,1.9812114924541082,0.0066016846629349665,1.9728982873313516,1.9877295828448147,1.9316778453023482,0.0038539509256609425,1.9264844919866304,1.9366600086495889
29,72,1.724190629137351,0.00211557038957775,1.7212780339907763,1.7267163382118242,1.795129475338888,0.0031746094697581327,1.7901145558759886,1.7988377418412937,1.8167001987928437,0.0032778380568703478,1.8117217780159915,1.8202989692371074,1.9219843085648918,0.004271359999600226,1.9166190017159384,1.9265831430068516,1.7482870616657802,0.00145010524455944,1.7462431352471313,1.7494915183053412
25,67,1.7435023926698456,0.0021900122950133114,1.7416256555405394,1.7472694664728732,1.7870277345708918,0.0025339531549041375,1.7838522409499282,1.7903120245471777,1.8095553798947734,0.003227475186019692,1.8043195552948976,1.8124112842219786,1.9279870124350833,0.002357790984971548,1.9251855062855394,1.9304893286074916,1.7701642994959665,0.0031491278712438555,1.765628851433477,1.7744005575813209
21,81,1.8148898969591734,0.001938358831023184,1.8133975573989254,1.8181943631282933,1.8096667084983058,0.004822405184026231,1.8018360256409613,1.8143405192089719,1.8264760277208771,0.004733577454320425,1.8191783232779073,1.8311088400919764,1.9528657089387877,0.0032666956251189497,1.9482000978960352,1.9568507475447243,1.8391855129867243,0.0020099642426960906,1.836684614273122,1.84148142000249
25,84,1.789820827525244,0.003341911124225571,1.7868799510420563,1.7952520994118248,1.8130758508142655,0.005483389738261047,1.8047716995886174,1.8189661034236562,1.8301601332744024,0.004683546252087678,1.8224084588447285,1.8339254751300447,1.9422704246421651,0.006180210781371495,1.935666202019515,1.9508805630163535,1.8124723761602013,0.0019366786794773267,1.8100839764729881,1.8148437765613845
8,15,1.7166687249845627,0.0007660626587865005,1.715627132796504,1.7173471198966008,1.6942048934632994,0.0015294161347267985,1.6919793101551739,1.6958672809953925,1.7525676557425818,0.0017211643627881783,1.7497548768384237,1.7544188418586861,1.95146376402177,0.0025643233343940596,1.9477373919695602,1.9542893428299288,1.806325652557606,0.0017345172445322086,1.804178468661485,1.8081064392017059
28,26,1.5826708252792714,0.0013147124151390351,1.580437954306594,1.583799410607662,1.6813545423909493,0.0015410686802958759,1.6792566696632945,1.6832256180669651,1.7313524924175987,0.002367843818806422,1.7284095306761011,1.734862446788192,1.7702643865629746,0.0023502802875004225,1.7678560178717677,1.773539443987228,1.5729428517429274,0.0016253811125689314,1.5701645878603578,1.5744575320520835
